period,whale,lat,lon
new,1,-33.2694,18.11464
new,2,-33.2479,18.07489
new,3,-33.2481,18.07483
new,4,-33.2073,18.06426
new,5,-33.5354,18.02452
new,6,-33.2681,17.96974
new,7,-33.275,18.02701
old,1,-32.7255,17.9965
old,2,-32.5975,18.0271
old,3,-32.5975,18.0271
old,4,-32.7143,17.9873
old,5,-32.6145,18.0105
old,6,-32.6145,18.0105
old,7,-32.7352,18.0245
old,8,-32.7433,18.0223
old,9,-32.6325,17.9153
old,10,-32.6325,17.9153
old,11,-32.6678,17.9161
old,12,-32.6678,17.9161
old,13,-32.6678,17.9161
old,14,-32.627,17.9292
old,15,-32.6485,17.9729
old,16,-32.6485,17.9729
old,17,-32.7103,18.0043
old,18,-32.715,18.0122
old,19,-32.6157,17.994
old,20,-32.6157,17.994
old,21,-32.6975,18.0137
old,22,-32.6975,18.0137
old,23,-32.685,17.9635
old,24,-32.5845,18.022
old,25,-32.5845,18.022
old,26,-32.6572,17.9072
old,27,-32.6572,17.9072
old,28,-32.717,17.9973
old,29,-32.6271,18.0254
old,30,-32.6271,18.0254
old,31,-32.5772,18.0078
old,32,-32.5772,18.0078
old,33,-32.704,17.9918
old,34,-32.6417,17.958
old,35,-32.6383,17.9677
old,36,-32.7028,17.9345
old,37,-32.7165,17.9862
old,38,-32.6643,18.0115